"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /arama?adult=&q=iPhone%C3%96zdilek",34,160,160,170,190,520,630,2200,2200,2200
"GET /arama?adult=&q=iPhoneAdobe",34,140,150,160,170,390,580,860,860,860
"GET /arama?adult=&q=iPhoneAidata",39,140,160,160,180,530,2100,3900,3900,3900
"GET /arama?adult=&q=iPhoneAirTies",39,150,150,160,200,250,390,980,980,980
"GET /arama?adult=&q=iPhoneAr%C3%A7elik",38,150,180,190,270,880,1700,3500,3500,3500
"GET /arama?adult=&q=iPhoneArai",31,150,160,180,190,240,600,900,900,900
"GET /arama?adult=&q=iPhoneArmani",30,140,150,170,180,200,210,290,290,290
"GET /arama?adult=&q=iPhoneArnica",38,140,150,160,180,420,1100,2400,2400,2400
"GET /arama?adult=&q=iPhoneArzum",38,140,170,200,220,500,720,6700,6700,6700
"GET /arama?adult=&q=iPhoneAsus",32,230,270,470,770,2800,3300,3400,3400,3400
"GET /arama?adult=&q=iPhoneAvon",30,140,140,150,250,450,840,900,900,900
"GET /arama?adult=&q=iPhoneBanat",34,140,150,160,170,250,310,4000,4000,4000
"GET /arama?adult=&q=iPhoneBaylan",37,140,150,160,170,420,840,6400,6400,6400
"GET /arama?adult=&q=iPhoneBeko",38,160,170,180,200,300,630,2200,2200,2200
"GET /arama?adult=&q=iPhoneBelkin",32,160,160,170,180,270,320,1000,1000,1000
"GET /arama?adult=&q=iPhoneBemis",38,150,160,180,200,600,910,6100,6100,6100
"GET /arama?adult=&q=iPhoneBimeks",37,140,160,200,290,730,1300,1600,1600,1600
"GET /arama?adult=&q=iPhoneBioxin",30,130,130,140,150,420,550,580,580,580
"GET /arama?adult=&q=iPhoneBosh",1504,110,110,130,140,300,590,1300,1900,5500
"GET /arama?adult=&q=iPhoneBoss",30,140,150,160,170,330,410,2200,2200,2200
"GET /arama?adult=&q=iPhoneBridgestone",31,160,170,190,220,520,890,4600,4600,4600
"GET /arama?adult=&q=iPhoneCalvin%20Klein",30,150,160,170,180,200,310,4500,4500,4500
"GET /arama?adult=&q=iPhoneCanon",37,160,170,190,230,450,1900,3300,3300,3300
"GET /arama?adult=&q=iPhoneCasper",37,160,170,200,220,510,1100,1900,1900,1900
"GET /arama?adult=&q=iPhoneCastrol",31,160,190,220,220,450,2500,2800,2800,2800
"GET /arama?adult=&q=iPhoneChanel",30,140,150,160,160,220,430,430,430,430
"GET /arama?adult=&q=iPhoneContinental",31,150,160,230,250,1300,5600,6600,6600,6600
"GET /arama?adult=&q=iPhoneDefacto",34,150,160,170,190,420,450,510,510,510
"GET /arama?adult=&q=iPhoneDell",36,160,160,190,200,330,440,560,560,560
"GET /arama?adult=&q=iPhoneDesk",36,140,160,180,180,450,480,2300,2300,2300
"GET /arama?adult=&q=iPhoneDiesel",30,160,180,200,220,470,620,6400,6400,6400
"GET /arama?adult=&q=iPhoneDior",30,150,160,160,160,440,470,1600,1600,1600
"GET /arama?adult=&q=iPhoneDo%C4%9Fu%C5%9F",32,170,230,260,270,440,920,7700,7700,7700
"GET /arama?adult=&q=iPhoneDyson",32,160,190,250,250,580,2800,5000,5000,5000
"GET /arama?adult=&q=iPhoneEts",36,140,150,160,170,220,280,1200,1200,1200
"GET /arama?adult=&q=iPhoneFly",37,140,160,160,170,450,920,3100,3100,3100
"GET /arama?adult=&q=iPhoneFujifilm",32,150,190,420,440,3200,6500,8200,8200,8200
"GET /arama?adult=&q=iPhoneGarage",32,160,160,170,170,420,1900,3000,3000,3000
"GET /arama?adult=&q=iPhoneGarmin",31,150,160,170,180,430,2700,3700,3700,3700
"GET /arama?adult=&q=iPhoneGivenchy",30,140,150,160,170,230,230,430,430,430
"GET /arama?adult=&q=iPhoneGolden%20Rose",30,170,180,190,200,530,790,4700,4700,4700
"GET /arama?adult=&q=iPhoneGucci",30,140,150,160,170,320,420,450,450,450
"GET /arama?adult=&q=iPhoneGuess",30,150,160,180,210,230,330,590,590,590
"GET /arama?adult=&q=iPhoneHarley",31,190,220,260,340,840,2500,3500,3500,3500
"GET /arama?adult=&q=iPhoneHavelsan",38,140,150,160,170,220,490,830,830,830
"GET /arama?adult=&q=iPhoneHp",36,170,180,200,200,420,600,620,620,620
"GET /arama?adult=&q=iPhoneHuawei",34,260,270,280,330,550,800,1000,1000,1000
"GET /arama?adult=&q=iPhoneIBM",34,140,170,190,190,250,450,480,480,480
"GET /arama?adult=&q=iPhoneIntel",35,150,160,170,190,250,300,4600,4600,4600
"GET /arama?adult=&q=iPhoneIphone",1753,160,200,330,420,800,1400,2300,3000,9000
"GET /arama?adult=&q=iPhoneJabra",32,140,160,180,190,280,450,1500,1500,1500
"GET /arama?adult=&q=iPhoneKappa",31,150,160,390,440,760,4400,4600,4600,4600
"GET /arama?adult=&q=iPhoneKaraca",30,160,170,180,190,520,530,1500,1500,1500
"GET /arama?adult=&q=iPhoneKarel",38,150,160,180,180,380,450,2800,2800,2800
"GET /arama?adult=&q=iPhoneKerastase",30,140,140,150,170,330,470,970,970,970
"GET /arama?adult=&q=iPhoneKinetix",34,170,220,260,450,520,780,3300,3300,3300
"GET /arama?adult=&q=iPhoneKodak",37,150,160,170,170,320,480,540,540,540
"GET /arama?adult=&q=iPhoneKumtel",38,150,160,170,180,420,600,910,910,910
"GET /arama?adult=&q=iPhoneLG",37,240,270,280,300,470,730,2400,2400,2400
"GET /arama?adult=&q=iPhoneLa%20Roche",30,150,170,170,180,250,470,520,520,520
"GET /arama?adult=&q=iPhoneLacoste",34,160,170,170,190,200,470,550,550,550
"GET /arama?adult=&q=iPhoneLassa",31,160,200,340,400,630,720,5200,5200,5200
"GET /arama?adult=&q=iPhoneLierac",30,140,150,150,180,240,2600,5700,5700,5700
"GET /arama?adult=&q=iPhoneLoreal",30,140,140,160,170,440,640,930,930,930
"GET /arama?adult=&q=iPhoneMax%20Factor",30,160,170,170,170,180,200,1300,1300,1300
"GET /arama?adult=&q=iPhoneMeizu",36,140,170,440,440,500,600,3300,3300,3300
"GET /arama?adult=&q=iPhoneMotul",32,170,180,190,200,450,1500,6600,6600,6600
"GET /arama?adult=&q=iPhoneNetelsan",37,150,180,230,260,490,870,1900,1900,1900
"GET /arama?adult=&q=iPhoneNewmix",32,140,160,160,190,470,4100,6500,6500,6500
"GET /arama?adult=&q=iPhoneNexen",32,140,160,200,200,660,3100,6900,6900,6900
"GET /arama?adult=&q=iPhoneNikon",69,140,170,190,210,890,1100,1200,1400,1400
"GET /arama?adult=&q=iPhoneNiron",30,150,160,160,200,450,640,890,890,890
"GET /arama?adult=&q=iPhoneNivea",30,150,170,170,200,450,470,530,530,530
"GET /arama?adult=&q=iPhoneOmo",34,140,150,160,160,190,320,3100,3100,3100
"GET /arama?adult=&q=iPhoneOsram",30,160,170,180,230,280,400,5000,5000,5000
"GET /arama?adult=&q=iPhonePanasonic",37,160,180,230,270,390,400,440,440,440
"GET /arama?adult=&q=iPhonePhilips",37,160,170,180,190,240,480,530,530,530
"GET /arama?adult=&q=iPhonePiranha",37,160,170,220,270,1000,3300,5700,5700,5700
"GET /arama?adult=&q=iPhonePreo",36,150,160,180,190,270,480,630,630,630
"GET /arama?adult=&q=iPhoneProfilo",32,160,180,200,210,800,3400,4100,4100,4100
"GET /arama?adult=&q=iPhoneRafevi",30,150,160,170,200,240,350,3100,3100,3100
"GET /arama?adult=&q=iPhoneRota",32,150,190,320,390,740,4500,6700,6700,6700
"GET /arama?adult=&q=iPhoneRowenta",37,150,170,180,200,470,470,860,860,860
"GET /arama?adult=&q=iPhoneSamsung",1756,220,250,300,370,920,1700,2600,3300,8000
"GET /arama?adult=&q=iPhoneSchuberth",31,160,190,330,370,450,750,5700,5700,5700
"GET /arama?adult=&q=iPhoneSeiko",30,150,150,160,190,220,220,3000,3000,3000
"GET /arama?adult=&q=iPhoneSiemens",32,170,220,410,450,470,1400,3600,3600,3600
"GET /arama?adult=&q=iPhoneSkagen",30,150,170,200,220,440,450,1100,1100,1100
"GET /arama?adult=&q=iPhoneSony",69,250,280,340,400,990,3000,3500,4100,4100
"GET /arama?adult=&q=iPhoneStmax",31,160,170,220,240,420,980,1200,1200,1200
"GET /arama?adult=&q=iPhoneTefal",32,160,190,200,220,480,780,1100,1100,1100
"GET /arama?adult=&q=iPhoneTelefunken",37,140,160,170,250,280,410,450,450,450
"GET /arama?adult=&q=iPhoneTommy",30,150,160,190,200,250,410,990,990,990
"GET /arama?adult=&q=iPhoneToyota",31,160,170,190,200,240,490,7100,7100,7100
"GET /arama?adult=&q=iPhoneVeet",30,130,150,160,180,420,830,1500,1500,1500
"GET /arama?adult=&q=iPhoneXiamoi",34,140,160,160,160,390,730,3400,3400,3400
"GET /arama?adult=&q=iPhoneYukko",37,140,160,160,170,470,1300,4800,4800,4800
"Total",8211,160,200,230,270,550,1100,2300,3300,9000
